Reviewer,Note,Comment,Localisation,Nbreviews,Date,Compagny
THNF,0.6,"I like the products but don’t like the…

I like the products but don’t like the price.",US,1,2022-07-07T02:07:15Z,Hot Shot's Secret
Ron Dukavas,0.8,Getting on web sight was not easy,US,1,2022-07-07T01:28:47Z,Hot Shot's Secret
customer,1.0,"Awesome products and customer service

Customer service, they hit it out of the park like always. I added gasoline extreme to the list this time and I’m sure it works. It boosted a tank of crap regular gas (86 octane) to about half what I usually get from mid grade. I didn’t notice a significant difference with gasoline extreme in the mid grade fuel. Maybe being over critical but I knocked off a star. EDT is still the best thing going for a Diesel engine. The oil additive in the light vehicles I take on faith because I know what it does for performance and wear in the big truck.",US,2,2022-07-06T17:30:28Z,Hot Shot's Secret
Mark Hewett,1.0,"I began to use your product and have had great results .

I began to use your product and have seen results already! Both my vehicles have over 160,000 miles and they run like new. I did have one problem. I used the promo code Overnight drive and it did not give me the 10 percent off.
Keep up the good work.
On a different note I wonder if Hot Shots Secret would consider donating to ours charity. We are the Association of Christian truckers. We offer truckers an oasis where they can find free parking, Laundry, Showers, coffe, snacks and meals. We care about truckers and all are welcome. We are place where drivers can find respect and a place of rest, Our website is roadangeltruckerscenter.com Keep up the good work I love your products. Pastor Mark Hewett 507-271-6108",US,1,2022-07-05T15:57:45Z,Hot Shot's Secret
Robert Anderson,0.8,Gasoline Extreme really helps,US,3,2022-07-05T08:45:57Z,Hot Shot's Secret
Larry,1.0,"Nice

Nothing new here. The service has always been outstanding. Are you lonely? Call their customer service and talk about how their additives will help your car/pickup/truck run better. They have all the tech info that you need.",US,15,2022-07-05T06:09:48Z,Hot Shot's Secret
Matthew Weidemann,1.0,"2003 Volvo V70 T5 Automatic

2003 Volvo V70 T5 with approximately 165,000 miles and automatic transmission calling for the JWS 3309 specification and hadn't heard of anyone trying HSS products in their Volvo so I decided to give it a shot. I bought two gallons of the Blue Diamond ATF+4/Dexron III/Mercon V, which arrived packaged nicely in a cardboard box. I decided to do a dump and fill rather than a flush so I got 5.25 quarts out of the transmission drain and filled it with an equivalent amount of Blue Diamond. Shift are faster and smoother in-between gears and when putting the vehicle in DRIVE and releasing the brake the car actually wants to move whereas before I needed to motivate it with additional throttle. I will continue to use this fluid in dump and fill fashion at the next few oil changes. Thank you Hot Shot's Secret!",US,1,2022-07-05T06:09:44Z,Hot Shot's Secret
Gil M,1.0,"Great Product

i used the gasoline extreme in my 2000 grand cherokee v8 and its never ran so good! My mileage has picked up too. Great product guys!",US,2,2022-07-05T03:00:46Z,Hot Shot's Secret
Clay Hearne,1.0,"Diesel

Great stuff used it before returning customer",US,2,2022-07-05T02:18:56Z,Hot Shot's Secret
Ryan Green,1.0,"Great products and better gas…

Great products and better gas mileage!!!
A+++",US,1,2022-07-05T01:59:45Z,Hot Shot's Secret
Mark a benavides,1.0,"It works just as said

It works just as said , my 2004 acura Mdx has 238k miles,it has improved milage and power",US,1,2022-07-05T01:31:10Z,Hot Shot's Secret
Anthony Parrott,1.0,Seems to be a great product,US,1,2022-07-05T01:17:41Z,Hot Shot's Secret
Warner Colyer,1.0,Excellent stuff,US,1,2022-07-05T01:16:07Z,Hot Shot's Secret
Mike Ward,1.0,"Added Gasoline Extreme to my car

Added Gasoline Extreme to my car. At first I thought it was doing nothing but by the end of the tank I noticed it didn't downshift on hills as much.",US,2,2022-07-05T00:48:10Z,Hot Shot's Secret
Donald F Stout Jr,1.0,"All of your products are amazing

All of your products are amazing, with being able to feel changes almost immediate. I use all your diesel products, stiction, lx4, edt, diesel extreme, fr3 and WI ter diesel.
I just stated using the gasoline extreme and it immediately smoothed out her car.",US,9,2022-07-04T22:50:07Z,Hot Shot's Secret
OBG TRANSPORT LLC,1.0,"Excellent!

Excellent product line,fast service, never out of stock and always have good sales. Started with you guys a year ago and have been nothing but empressed! Keep up the great work!",US,1,2022-07-04T19:45:17Z,Hot Shot's Secret
Joe Fisher,1.0,"Great company during hard times.

Great product and great customer service! Highly recommend.",US,1,2022-07-04T17:16:29Z,Hot Shot's Secret
stanislav,1.0,"Great product

Great product, my 12 valve cummins never sounded better. Thank you 💯🙌",US,2,2022-06-29T19:46:09Z,Hot Shot's Secret
Joe Porter,1.0,"Easy order

Easy order, quick shipping, great product 5 stars from me",US,3,2022-06-29T18:13:21Z,Hot Shot's Secret
Marshall Rugg,1.0,"I have been using your Diesel Extreme

I have been using your Diesel Extreme, Every Day Treatment and the original stiction eliminator. They all work extremely well. So good that I have just purchased and used bluediamond G56 transmission fluid. It definitely quitted the gear noise. I highly recommend their diesel line of products. You wont be disappointed.",US,4,2022-06-27T23:28:26Z,Hot Shot's Secret
Shorty Morris,1.0,"Great as always

Great as always. LOVE the productS",US,3,2022-06-26T02:23:26Z,Hot Shot's Secret
Jim,1.0,always great products and service.,US,3,2022-06-23T15:20:26Z,Hot Shot's Secret
Donald Loper,1.0,fr3 freed my tapping lifter,US,1,2022-06-22T20:51:46Z,Hot Shot's Secret
CORY L,1.0,"Always great products

Always great products, but fedex....",US,2,2022-06-22T00:14:03Z,Hot Shot's Secret
Bill Blyth,1.0,"Love all the hotshot products

Love all the hotshot products, use all of them in 2016 chevy 3500HD. would not use anything else!",US,4,2022-06-21T23:54:51Z,Hot Shot's Secret
David Kulesavage,1.0,"Great product great service great…

Great product great service great guarantee but that’s not really needed because this stuff works",US,1,2022-06-21T23:46:42Z,Hot Shot's Secret
mitch p,1.0,great product and fast shipping.,US,1,2022-06-21T19:34:39Z,Hot Shot's Secret
"Richard Claude, Florida",1.0,"Been using hot shot secrets products…

Been using hot shot secrets products in my Ram 3500 Diesel for 4 yrs now.
For those who still have all their emissions installed, I can honestly say the EGR & COOLER stay cleaner. And my MPG has Increased by 3 MPG for sure.",US,5,2022-06-21T19:05:33Z,Hot Shot's Secret
Henry,1.0,"Awesome Place to get oil products at…

Awesome Place to get oil products at great prices!",US,3,2022-06-19T05:55:36Z,Hot Shot's Secret
Bill,1.0,"Great product

Quick shipping. I started using the day I bought my truck so I have no comparison. I just know they have a solid reputation and make a great product. My friends have been using it for years and wouldn’t switch.",US,2,2022-06-17T19:59:56Z,Hot Shot's Secret
customer,1.0,Quick shipping works great,US,4,2022-06-16T20:18:59Z,Hot Shot's Secret
MICHAEL HEYDEL,1.0,"I have a 2015 Ford F350 6.7l Super…

I have a 2015 Ford F350 6.7l Super Duty. With well over 200K . And I love these products.",US,4,2022-06-15T21:53:07Z,Hot Shot's Secret
Brad Schafer,1.0,Great customer service and product!,US,4,2022-06-15T02:20:08Z,Hot Shot's Secret
MOHAMMAD S. QURESHI,1.0,"Wonderful stuff I recommend to everyone…

Wonderful stuff I recommend to everyone thanks",US,3,2022-06-14T14:11:24Z,Hot Shot's Secret
Donnie,1.0,Great product I’m hooked.,US,1,2022-06-11T15:03:17Z,Hot Shot's Secret
Matt Deal,1.0,"Product ships quickly and usually…

Product ships quickly and usually arrives within a week.",US,2,2022-06-10T22:50:01Z,Hot Shot's Secret
Rick,1.0,"Received my complete order in a timely…

Received my complete order in a timely manner.",US,2,2022-06-10T15:14:15Z,Hot Shot's Secret
Karl Wasielewski,1.0,"My 1994 chey Silverado has 120000 miles…

My 1994 chey Silverado has 120000 miles on it had hesitation and rough ideal after using striction eliminator and fuel supplements runs much smoother and no more hisatation didn't mph yet but seams better",US,1,2022-06-09T03:04:37Z,Hot Shot's Secret
Craig Corpus,1.0,"Excellent customer service…..when 2…

Excellent customer service…..when 2 bottles weren’t delivered…. Abby was great to work with….. and fast & efficient…..thanks.",US,3,2022-06-08T04:26:24Z,Hot Shot's Secret
Kevin,1.0,"Wrong order and taken care of.

I ordered the 2 qt 2bottle pack And received 2-16 oz bottles, so I called to get it straightened out was expecting to have to return ship the 2-16 oz bottles but to my surprise they said keep them and they shipped the right size, which I received very quickly, Thank you. That's great customer service!!!!",US,5,2022-06-07T21:47:24Z,Hot Shot's Secret
John Ostransky,1.0,"Great productI/O

Great product, I will keep using it. Also would recommended it.",US,1,2022-06-07T20:31:23Z,Hot Shot's Secret
James Marner,1.0,"Awesome customer service as well as…

Awesome customer service as well as product!",US,2,2022-06-07T01:48:51Z,Hot Shot's Secret
James Messersmith,1.0,"The products that I have used in a long… Stiction Eliminator

The products that I have used in a long time. I have a 2006 4 door long bed Chevy 2500 truck and I put in the Stiction Eliminator and with in 40 miles the truck quite down and increased fuel mileage. Not sure by how much yet. Now it don’t have a hard knock and I’m very please.",US,1,2022-06-07T00:00:39Z,Hot Shot's Secret
Soggy,1.0,"Dependable company.

Items as described, delivered on time, no problems.",US,6,2022-06-06T22:37:52Z,Hot Shot's Secret
Kevin jobes,1.0,Great as usual,US,1,2022-06-04T07:15:29Z,Hot Shot's Secret
Terry McHenry,0.8,"All good

This is good stuff recommend to anyone who is skeptical",US,1,2022-06-04T02:50:10Z,Hot Shot's Secret
Dave J,1.0,"HOT SHOT SECRET PRODUCTS ARE ""A MUST HAVE"" FOR EVERY APPLICATION!

I've been using Hot Shot Secret products ever since I started seeing them used on the TV mechanic shows! Use the fuel & oil additives in all my diesels.... 7.3 Powerstroke, 3126 CAT, 3.0 Jeep Cherokee, and Kubota BX23. Use the gasoline additive in the motorcycles, ATV's, and RV genset! Keeps all the engines clean & healthy! The HUEI injectors in the 7.3 & 3126 run smooth, and the Jeep Cherokee Re-gens hardly ever since using Hot Shot Secret products!",US,3,2022-06-02T18:49:22Z,Hot Shot's Secret
Vernon Cornell,1.0,"Quality products

Great quality products and behind the scenes customer service.",US,1,2022-06-01T20:45:56Z,Hot Shot's Secret
Jason,1.0,"I use almost all the products from HSS…

I use almost all the products from HSS and I will never put another product in my truck or Bel Air ever! Fr3 has been used in my front/rear diff, tranny fluid swap with the tranny restore, and she shifts and runs like a top!",US,8,2022-05-30T21:51:32Z,Hot Shot's Secret
Timothy,1.0,"all good

all good , Fr-3 is very important same as your body flow with out stroke
Need to understand this Live and good and less money more damage later
keep more miles .",US,5,2022-05-30T17:31:03Z,Hot Shot's Secret
Eddie Campbell,1.0,"I sent my purchase back because I…

Great Customer Service and I will definitely make another purchase.",US,1,2022-06-06T21:24:10Z,Hot Shot's Secret
Edward Brockmeier,1.0,"Don’t sleep on these products!

Don’t sleep on these products!! Best thing I’ve done for my high mileage car!!!",US,1,2022-05-28T00:59:15Z,Hot Shot's Secret
Thomas Daum,1.0,"Great products arrived quickly

Products arrived quickly and preformed as advertised, very satisfied !",US,5,2022-05-26T20:53:01Z,Hot Shot's Secret
Leslie Mclaughlin,1.0,"Perfect product. Perfect service.

Everything about my experience with hotshots secret has been perfect. Ordering. Payment and tracking has been always went well.",US,2,2022-05-20T05:44:13Z,Hot Shot's Secret
NoelDV,1.0,"Easy ordering and payment online

Easy ordering and payment online. Fast delivery. Thanks.",PH,4,2022-05-17T21:59:31Z,Hot Shot's Secret
Kathy Taylor,1.0,"Excellent products!!!

I started using Hot shot after watching several videos, I have a third gen dodge one ton dually, had an issue with my auxiliary tank freezing up, used the anti gel, from Hot Shot secret, never had an issue after that. The EDT seems to lubricate the engine beautifully. Only issue is finding it in stores, so I order directly from the company. It keeps my engine hummin like a cummins.",US,2,2022-05-17T17:58:18Z,Hot Shot's Secret
Robert,1.0,"Excellent Products that I use in my…

Excellent Products that I use in my Classic Trans Am as well as my everyday cars, Highly Recommend Them!!",US,4,2022-05-17T05:57:06Z,Hot Shot's Secret
Mark Larche,0.2,"When I first read reviews 2 years

When I first read reviews 2 years
Ago, there were two complaints.
I now have both. I have ordered
In the past with a “free” bottle which
Did not come. Now my current order
Is somewhere after being replaced because
Of damage in shipping which was the
Second complaint people seem to keep
Having. BTW. My last order was 6. 32
Oz EDT and the box was breaking when
It arrived. Whomever is handling your
Shipping seems to be your problem.

The packaging is to light. On another
Order one bottle arrived leaking",US,1,2022-05-17T04:30:47Z,Hot Shot's Secret
James Baker,1.0,"Hot shots secret products are awesome

I've used hot shots secret products for a few years now and love it. The gasoline extreme, fr3, sticking eliminator, diesel extreme, edt, lx4, and never rust. It's all great products.",US,3,2022-05-17T03:46:40Z,Hot Shot's Secret
Gil,1.0,"Always great products

Always great products, this is the only brand I use for my diesel truck",US,6,2022-05-16T23:55:05Z,Hot Shot's Secret
Russell O'Neill,1.0,"Purchase Was Smooth and Painless

The whole process done with payment via Amazon went perfectly smoothly and I received the items on time. I also benefited from the special and got all i wanted with no hiccups or disappointments. Thanks Hot Shot's Secrets.

Russell O'Neill.",TT,1,2022-05-16T22:49:01Z,Hot Shot's Secret
Duffy S Everhart,1.0,"Hot Shot Secret it the best for your…

Hot Shot Secret it the best for your diesel trucks. I’ve seen increasing MPG with the fuel additives and using their oil. Can’t go wrong with Hot Shot products",US,5,2022-05-16T22:25:06Z,Hot Shot's Secret
Chris Johnson,1.0,"Great customer service

Have always used hotshot things first time i had a issue with one of there products was from the shipping company throwing it around like a soft ball damaged several of the lubricants, called hot shot they sent me a completely new order….. 10/10 recommend",US,1,2022-05-16T22:00:24Z,Hot Shot's Secret
James,0.8,"Shipping was fast

Shipping was fast
One complaint I have and it has happened before the bottle was not closed tight enough and was leaking enough to get the box saturated with the product",US,2,2022-05-16T19:07:16Z,Hot Shot's Secret
L.T.Oates,1.0,"I used diesel extreme and my mileage…

I used diesel extreme and my mileage improved and my truck runs smoother.",US,1,2022-05-16T17:03:33Z,Hot Shot's Secret
Will C Rogers,1.0,"We had some diesel fuel issues on our emergency generator

We had some diesel fuel issues on our large emergency backup generator. Fortunately, we don't need to run the generator very much, but unfortunately, the fuel was going bad because it wasn't getting turned over enough over time. I found Hot Shot's Secret online after a few minutes of searching and ordered enough to do my 2500 gallon fuel tank. Unequivocally, I can say that the Diesel Extreme brought my fuel back to life so I didn't have to replace 2500 gallons of fuel at over $5 per gallon. As an added benefit, the varnish inside the fuel rails and all the injectors was completely dissolved and fully cleaned. Performance on the generator is restored and back to OEM specifications. I was so impressed with the improvements on the generator that I ordered a quart for my F250 (which significantly improved drivability and performance of the truck) and I also ordered a quart of the Gasoline Extreme for my F150. This is a product that I highly recommend for diesel fuel. Although I haven't put the additive in my gas-powered F150 yet, I expect similar results. BTW, if you have any questions, call their office. It's obvious that they are very knowledgeable and are passionate about helping customers get the right product.",US,2,2022-05-14T01:32:55Z,Hot Shot's Secret
Juan Hernandez,1.0,"Hot shot’s secret

Very good product.outstanding results",US,2,2022-05-13T01:54:21Z,Hot Shot's Secret
Charles Piatchek,1.0,Great products and quick shipping,US,1,2022-05-12T07:48:45Z,Hot Shot's Secret
Joshua Rousselow,1.0,"The fact that Hot Shots Secret has oil…

The fact that Hot Shots Secret has oil in stock and ships fast is an absolute win right now. This will be my first oil change using their Green Diamond Fleet Oil. I use their EDT in my truck and heavy equipment.",US,2,2022-05-12T05:35:44Z,Hot Shot's Secret
Ryan Carr,1.0,"Fast shipping turn around

Fast shipping turn around! Thanks again.",US,2,2022-05-11T19:35:28Z,Hot Shot's Secret
NATHANIEL WILLIAMS,1.0,"Customer service

Ridiculous how fast you get product out to the customer. I am floored every time I order and it's on my porch within 48 hours. Keep up the good work. The products themselves are second to none.",US,1,2022-05-11T14:17:14Z,Hot Shot's Secret
Josh,1.0,"As always I am very pleased with my…

As always I am very pleased with my purchase! I have used nothing but hotshot products in my 17 F250 since I got it. I run the oil with the stiction eliminator at every oil change and the every day diesel treatment at every fill up. The ED diesel treatment seems to help with mileage by maybe a mile or two per gallon but when diesel is $5.50 a gallon every little bit helps. Especially frequently pulling a 15k lb trailer. I see no reason to try any other company. It also helps that their customer service is top notch ! You actually speak to a real person when you call. That is almost nonexistent in todays times. Thanks hot shot !!",US,5,2022-05-10T18:34:19Z,Hot Shot's Secret
curtisjames,1.0,Best stuff since sliced bread,US,2,2022-05-06T04:44:50Z,Hot Shot's Secret
William Doerge,1.0,"I purchased the Hot Shot gas treatment…

I purchased the Hot Shot gas treatment for my 2013 Ram 1500 5.7 with 84,000 miles.
When new I averaged 15 mpg around town. In the last 5-6 years that average would be lucky to be 13, usually 12. With one treatment of Hot Shot treatment I'm getting over 15 mpg. Power is better and highway mileage is better. Hot Shot gas treatment is going in every vehicle. I've tried gas treatments before, but nothing has worked like Hot Shot gas treatment did to improve gas mileage.",US,2,2022-05-04T16:31:27Z,Hot Shot's Secret
Roger Puffinberger,1.0,awesome product fast shipping thanks,US,4,2022-05-03T21:59:43Z,Hot Shot's Secret
Alvin Raber,1.0,"Awesome products

Awesome products. They keep our trucks on the road 11 hours a day.",US,2,2022-05-03T05:42:43Z,Hot Shot's Secret
Philip McMurphy,1.0,Great products!!,US,2,2022-05-02T21:42:43Z,Hot Shot's Secret
Scott Travers,1.0,"Service is great

Service is great. Whenever I order everything ships right out and is there on time. I greatly appreciate it.",US,1,2022-05-02T21:42:01Z,Hot Shot's Secret
David S,1.0,"This is a great company with great…

This is a great company with great customer service!",US,5,2022-04-30T11:14:06Z,Hot Shot's Secret
Darren,1.0,"Definitely use this with the CP4 fuel…

Definitely use this with the CP4 fuel pump. Any disaster prevention is worth it to me. Side effects are quieter injectors and increased MPG. Win win.",US,6,2022-04-28T23:19:39Z,Hot Shot's Secret
Matt,1.0,"Fast shipping

Fast shipping, easy to use. Time Will tell for benefits since truck was brand new. Will definitely buy again",US,1,2022-04-28T18:18:35Z,Hot Shot's Secret
John Scott,1.0,"Works as advertised

Works as advertised, put it in my 2007 BMW and the transmission smoothed out with no hard shifts after driving it for two weeks. I give it four stars.",US,2,2022-04-28T16:07:05Z,Hot Shot's Secret
Eric Soung,0.2,"Damage package

Damage package, if I hadn’t followed up on the tracking and contacted Hot Shots I never would have gotten the order. It was stuck in pending.",US,2,2022-04-26T00:43:17Z,Hot Shot's Secret
Joseph Delmazzo,1.0,"Like always they're fast with…

Like always they're fast with deliveries and very knowledgeable on their product.",US,1,2022-04-25T23:23:18Z,Hot Shot's Secret
Kip Hamilton,1.0,"Products work great

Products work great and give me a feeling of keeping my equipment in top working condition.",US,1,2022-04-25T20:06:15Z,Hot Shot's Secret
Aaron Elliott,1.0,"I absolutely love your products but…

I absolutely love your products but your prices are not good at all for example I bought diesel extreme at O'Reillys for 28$ your website 44$ I think if we are buying from your website we should not have to pay that much of a price increase or like Amsoil you pay a membership and you get the product at a great price. Do you guys have more coupons or coupon codes. I bought 12 quarts of oil for my duramax and it was almost 300$ it is very hard to justify paying those prices for a oil change.",US,3,2022-04-25T18:33:34Z,Hot Shot's Secret
Brandon Yacu,1.0,"Saved me big time

A dealership wanted me to replace my fuel injectors for $2600. My uncle suggested hot shot secret gasoline extreme and I am now 400 miles in with no issues, no engine light turning on, and my MPG has gone back to where it was before I had this issue. Money well spent and saved me a bunch.",US,1,2022-04-25T18:24:25Z,Hot Shot's Secret
Johnny P,1.0,"The package arrived on time and the two…

The package arrived on time and the two items were well packed. I have not had a chance yet to use the Stiction Eliminator but I am running the gasoline additive now. It seems to be working but considering my car is 16 years old and have never had any kind of additive in it, the clean up could take awhile.

Now, if you would just respond to emails as fast as you sent the package, that would be appreciated.",US,2,2022-04-23T11:45:51Z,Hot Shot's Secret
Jim Knierim,1.0,"Ordered the Fleet Green oil

Ordered the Fleet Green oil, fast service and very happy with the product… this is my first experience with this product… so far so good…",US,2,2022-04-23T04:16:44Z,Hot Shot's Secret
Kenneth Beardsley,1.0,Your products are the best in the market,US,1,2022-04-23T03:04:51Z,Hot Shot's Secret
RANDALL COLE,1.0,"Great stuff

Great stuff! I have gained about 4-5 MPG in my car! Car idles better and has quicker acceleration! Will definitely buy again",US,1,2022-04-22T23:05:20Z,Hot Shot's Secret
Ted Chapman,1.0,Great products.,US,1,2022-04-22T18:49:11Z,Hot Shot's Secret
Brenda Johnson,1.0,"I'm a satisfied customer.

I was thrilled to get a $60 off coupon code by being a first-time caller to Overnight Drive. I ordered the gasser package. The products have made a difference in my truck, a 2004 F-150 Crew Cab. The first tank of gas improved my mileage from 13 mpg to 15 mpg. The engine noise (rattles and clatters) is alot less, too. My truck seems to have more pep and easier shifting, too. I am well pleased with Hot Shot's Secret additives and will continue to be a HSS consumer and supporter.",US,1,2022-04-21T04:17:50Z,Hot Shot's Secret
David Swick,1.0,"Awesome service as always

Awesome service as always. I got next day delivery for the free shipping! You can't beat that.",US,3,2022-04-20T23:58:24Z,Hot Shot's Secret
TRACY P THIBODAUX,1.0,great products,US,1,2022-04-19T01:18:09Z,Hot Shot's Secret
Craig Coe,1.0,hot Shot's products are great,US,3,2022-04-18T19:44:35Z,Hot Shot's Secret
David Brown,0.2,"Horrible I ordered three Extreme…

Horrible I ordered three Extreme Gasoline treatment all seals where broken I called and left a message after I received them and nobody ever called me back about resolving the issue very poor customer service David Brown",US,1,2022-04-18T17:42:13Z,Hot Shot's Secret
Richard Aguilar,1.0,I love this product,US,1,2022-04-15T18:52:17Z,Hot Shot's Secret
Robert Plocar,1.0,"I heard about it from a friend

I heard about it from a friend. I purchased it just hoping to get my fuel injectors clean and to my surprise I went from 19.3 miles per gallon in the city to 25.3 in the city. I have yet to take it for a long road trip I wanna see what it does on the highway. I think your product is truly amazingAnd I’m so impressed you don’t have to put it in every tank for every 6 to 10,000 miles you had it. I just can’t wait to see what else happens. Thank you very much.",US,1,2022-04-15T16:55:39Z,Hot Shot's Secret
Kim Lee,1.0,"Online ordering was easy

Online ordering was easy. Other than FedX losing the package for a week, everything else went fine. Abby in customer service was very helpful.",US,1,2022-04-13T20:37:50Z,Hot Shot's Secret
